game.frametime_average,game.frametime_variance,game.time,network.acks_received,network.acks_sent,network.adapter,network.bytes_received,network.bytes_sent,network.connects,network.connects_received,network.connects_rejected,network.connects_sent,network.disconnects,network.messages_limited,network.messages_received,network.messages_redundant,network.messages_resent,network.messages_sent,network.never_connected,network.packets_acked,network.packets_limited,network.packets_lost,network.packets_outofseq,network.packets_received,network.packets_sent,network.peer_address,network.peer_port,network.processing_time,network.reconnects,network.reconnects_rejected,network.rtt_average,network.rtt_jitter,network.status,player.id,stats.duration,stats.version,
0.016694,0.000000,865.950500,228,311,Ethernet,58664,17348,0,0,0,0,0,0,1509,0,0,296,0,228,0,0,0,539,539,138.0.15.115,5102,0.018727,0,0,0.069970,0.002172,Connected,2591139810092352,10.016172,7,
0.016688,0.000000,875.962585,225,298,Ethernet,52568,16726,0,0,0,0,0,0,1294,0,0,285,0,225,0,0,0,523,523,138.0.15.115,5102,0.018034,0,0,0.069711,0.002087,Connected,2591139810092352,10.012509,7,
0.016687,0.000000,885.974548,264,308,Ethernet,64864,21896,0,0,0,0,0,0,2051,0,0,353,0,264,0,0,0,572,574,138.0.15.115,5102,0.021793,0,0,0.069831,0.002042,Connected,2591139810092352,10.012423,7,
0.016688,0.000000,895.986572,273,314,Ethernet,78818,24034,0,0,0,0,0,0,3114,0,0,366,0,273,0,0,0,587,586,138.0.15.115,5102,0.023519,0,0,0.069958,0.002014,Connected,2591139810092352,10.012547,7,
0.016690,0.000000,906.000122,300,364,Ethernet,106204,25964,0,0,0,0,0,0,3305,0,0,411,0,300,0,0,0,664,664,138.0.15.115,5102,0.024413,0,0,0.069909,0.001723,Connected,2591139810092352,10.013966,7,
0.016687,0.000000,916.012207,286,324,Ethernet,89505,21798,0,0,0,0,0,0,2637,0,0,388,0,286,0,0,0,610,610,138.0.15.115,5102,0.023021,0,0,0.069884,0.001969,Connected,2591139810092352,10.012496,7,
0.016687,0.000000,926.024170,306,325,Ethernet,93108,25818,0,0,0,0,0,0,2248,0,0,423,0,306,0,0,0,631,630,138.0.15.115,5102,0.023166,0,0,0.069928,0.001703,Connected,2591139810092352,10.012351,7,
0.016695,0.000000,936.024353,290,356,Ethernet,112310,24565,0,0,0,0,0,0,2452,0,0,423,0,290,0,0,0,646,646,138.0.15.115,5102,0.022040,0,0,0.069741,0.001929,Connected,2591139810092352,10.000592,7,
0.016687,0.000000,946.036377,288,350,Ethernet,112839,22812,0,0,0,0,0,0,2478,0,0,426,0,288,0,0,0,638,639,138.0.15.115,5102,0.021452,0,0,0.069815,0.001793,Connected,2591139810092352,10.012416,7,
0.016689,0.000000,956.049194,287,310,Ethernet,84480,21262,0,0,0,0,0,0,1713,0,0,407,0,287,0,0,0,597,597,138.0.15.115,5102,0.020970,0,0,0.069888,0.001990,Connected,2591139810092352,10.013198,7,
0.016689,0.000000,966.062500,293,345,Ethernet,96309,22681,0,0,0,0,0,0,2165,0,0,415,0,293,0,0,0,638,638,138.0.15.115,5102,0.021453,0,0,0.069991,0.001800,Connected,2591139810092352,10.013640,7,
0.016690,0.000000,976.075928,293,319,Ethernet,76504,21388,0,0,0,0,0,0,1513,0,0,400,0,293,0,0,0,612,612,138.0.15.115,5102,0.021011,0,0,0.069880,0.001906,Connected,2591139810092352,10.013973,7,
0.016688,0.000000,986.088013,288,387,Ethernet,135958,23293,0,0,0,0,0,0,2943,0,0,412,0,288,0,0,0,675,674,138.0.15.115,5102,0.022532,0,0,0.070000,0.002000,Connected,2591139810092352,10.012516,7,
0.016687,0.000000,996.099976,284,318,Ethernet,72132,21477,0,0,0,0,0,0,1675,0,0,397,0,284,0,0,0,602,602,138.0.15.115,5102,0.020649,0,0,0.069994,0.001784,Connected,2591139810092352,10.012420,7,
0.016692,0.000000,1006.114868,306,321,Ethernet,97330,22463,0,0,0,0,0,0,1899,0,0,427,0,306,0,0,0,627,628,138.0.15.115,5102,0.021810,0,0,0.069971,0.001915,Connected,2591139810092352,10.015404,7,
0.016687,0.000000,1016.126709,277,391,Ethernet,139922,23325,0,0,0,0,0,0,3444,0,0,419,0,277,0,0,0,668,668,138.0.15.115,5102,0.023138,0,0,0.069964,0.001769,Connected,2591139810092352,10.012255,7,
0.016706,0.000000,1026.133301,265,490,Ethernet,181390,26821,0,0,0,0,0,0,4735,0,0,416,0,265,0,0,0,755,755,138.0.15.115,5102,0.023959,0,0,0.069902,0.001925,Connected,2591139810092352,10.007182,7,
0.016704,0.000000,1036.138550,172,340,Ethernet,76235,16648,0,0,0,0,0,0,2663,0,0,239,0,172,0,0,0,512,511,138.0.15.115,5102,0.016910,0,0,0.069785,0.002212,Connected,2591139810092352,10.005648,7,
0.016687,0.000000,1046.150635,218,318,Ethernet,65342,17323,0,0,0,0,0,0,1954,0,0,281,0,218,0,0,0,536,536,138.0.15.115,5102,0.017792,0,0,0.069906,0.002064,Connected,2591139810092352,10.012496,7,
